EXTERNALLINK_PK,EXTERNAL_URL,NAME_FIELD,Result,Details,UpdatedURL
233749,http://americanradioworks.publicradio.org/features/americandream/a1.html,Need 2 Know,Success,,https://americanradioworks.publicradio.org/features/americandream/a1.html
229148,http://amhistory.si.edu/militaryhistory/printable/section.asp?id=6,Do More,Success,,https://amhistory.si.edu/militaryhistory/printable/section.asp?id=6
207079,http://ancientegyptonline.co.uk/great-pyramid.html,See More,Redirected,URL should be updated to match Redirected URL,https://ancientegyptonline.co.uk/great-pyramid/
232900,http://android-streaming.techrepublic.com/media/2017/10/27/1082796612002/20171024_LibreOffice_Jack_1246902_740.mp4,Instructional Video,404,"('Not Found', 'Nothing matches the given URI')",
174628,http://animals.nationalgeographic.com/animals/endangered-animals-quiz/,Do More,Redirected,URL should be updated to match Redirected URL,https://www.nationalgeographic.com/animals/quizzes/species-under-threat-quiz-part-1/
232446,http://aplusphysics.com/courses/regents/videos/WaveEquation/WaveEquation.html,Instructional Video,Success,,https://aplusphysics.com/courses/regents/videos/WaveEquation/WaveEquation.html
223204,http://app.discoveryeducation.com/player/?assetGuid=3134DCE5-1710-4D7F-81AA-623AA8C606F2,Hear More,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=3134DCE5-1710-4D7F-81AA-623AA8C606F2
226639,http://arcadiasystems.org/academia/printtrickster.html,See More,Failed - https,Failed with https; Successful as http,
226415,http://archaeologychannel.org/video-guide/video-guide-menu/video-guide-summary/222-catalhoeyuek,Hear More,Redirected,URL should be updated to match Redirected URL,https://www.archaeologychannel.org/video-guide/video-guide-menu/video-guide-summary/222-catalhoeyuek
231738,http://archive.hokulea.com/polynesia.html,See More,Failed - https,Failed with https; Successful as http,
175403,http://archive.org/details/ConstantOfProportionality,Hear More,Success,,https://archive.org/details/ConstantOfProportionality
208874,http://archive.org/details/song_of_wandering_aengus_librivox,Hear More,Success,,https://archive.org/details/song_of_wandering_aengus_librivox
227339,http://art-educ4kids.weebly.com/aboriginal-art-and-patterning.html,See More,Success,,https://art-educ4kids.weebly.com/aboriginal-art-and-patterning.html
207215,http://artyfactory.com/art_appreciation/art_movements/cubism.htm,See More,Success,,https://artyfactory.com/art_appreciation/art_movements/cubism.htm
232189,http://assets.civilwar.org/animatedmaps/revolutionary-animated-map/?_ga=2.31536633.635081255.1513275828-1745554945.1513275828,Do More,Redirected,URL should be updated to match Redirected URL,https://www.battlefields.org/learn/maps?field_war_tid%5B%5D=2&field_map_type_value_selective%5B%5D=animated&_ga=2.31536633.635081255.1513275828-1745554945.1513275828
224922,http://astro.unl.edu/naap/hr/hr_background1.html,Need 2 Know,Success,,https://astro.unl.edu/naap/hr/hr_background1.html
225801,http://atlantis.coe.uh.edu/archive/science/science_lessons/scienceles3/capacity/capacity.html,Do More,404,"('Not Found', 'Nothing matches the given URI')",
206158,http://aztecs.mrdonn.org/government.html,See More,Success,,https://aztecs.mrdonn.org/government.html
87439,http://bcove.me/kmgyhu21,Instructional Video,Redirected,URL should be updated to match Redirected URL,"http://link.brightcove.com/services/player/bcpid625505131001?bckey=AQ~~,AAAACofWkTk~,d-cWVfCeeBEH0CDEexAone3jAYWFdAyT&bctid=4568572287001"
231061,http://bcs.whfreeman.com/webpub/Ektron/Hillis%20Principles%20of%20Life2e/Animated%20Tutorials/pol2e_at_1602_Using_Phylogenetic_Analysis_to_Reconstruct_Evolutionary_History/pol2e_at_1602.html,Instructional Video,403,"('Forbidden', 'Request forbidden -- authorization will not help')",
83116,http://bcs.whfreeman.com/webpub/Ektron/Hillis%20Principles%20of%20Life2e/Animated%20Tutorials/pol2e_at_4503_The_Global_Carbon_Cycle/pol2e_at_4503_The_Global_Carbon_Cycle.html,Instructional Video,403,"('Forbidden', 'Request forbidden -- authorization will not help')",
235468,http://beetlesproject.org/resources/for-program-leaders/promoting-discussion/#1449353976427-c591993c-7622,Hear More,Failed - https,Failed with https; Successful as http,
