"COUNT","MAX","HTTPS"
312,304097,"https://owl.purdue.edu/owl/purdue_owl.html"
301,303959,"https://www.merriam-webster.com/"
137,279340,"https://www.dictionary.com"
130,244580,"https://www.vitalsource.com/products/c-programming-from-problem-analysis-to-program-barbara-doyle-v9781133170334"
120,295587,"https://d3ghkwrc702vrm.cloudfront.net/resources/files/000/036/237/max/save-submit.png?1475673927"
96,239460,"https://pacolmath.wordpress.com/"
84,303215,"https://www.adelaide.edu.au/library/news/list/2020/01/07/ebooksadelaide-has-now-officially-closed"
82,220904,"https://www.provostacademy.com/about_schooling.html"
77,304029,"https://owl.purdue.edu/owl/research_and_citation/mla_style/mla_formatting_and_style_guide/mla_works_cited_page_basic_format.html"
75,220904,"https://www.provostacademy.com/program_aday.html"
66,304163,"https://explorelearning.zendesk.com/hc/en-us/articles/204958120"
64,220916,"https://www.provostacademy.com/program_instruction.html"
53,220896,"https://www.provostacademy.com/technology.html"
51,239460,"https://docs.google.com/spreadsheets/d/1_nQzGB5iiJzLuLBeMID_Ft2StWaDsad-7fg2zNVAvFY/edit"
50,282956,"https://www.archives.gov/founding-docs"
50,239302,"https://www.provostacademy.com/family.html"
48,291370,"https://publicliterature.org/books/huckleberry_finn/1"
47,303463,"https://www.explorelearning.com/"
47,220904,"https://www.provostacademy.com/program_course.html"
45,279031,"https://www.discoveryeducation.com/"
41,238829,"https://www.vitalsource.com/products/intermediate-algebra-ron-larson-v1111784906"
38,304169,"https://www.explorelearning.com/index.cfm"
37,290252,"https://www.online-literature.com/shakespeare/hamlet/"
34,271467,"https://www.online-literature.com/brontec/janeeyre/1/"
33,279353,"https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=8f96da03-8082-4bef-9025-56baa9510d38&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267"
32,291836,"https://colleronline.weebly.com/uploads/2/8/2/0/2820270/lotf_text.pdf"
31,278523,"https://connect.discoveryeducation.com/index.cfm?&cdpartner=ba34-27gq&cduser=26da-9267&guidassetid=660913e5-9c6a-4fff-9b31-2c3a9656f1f2&amp;cdPartner=BA34-27GQ&amp;cdUser=26DA-9267"
31,291366,"https://get.adobe.com/flashplayer/"
31,270584,"https://www.canterburytales.org/"
29,291366,"https://helpx.adobe.com/shockwave/shockwave-end-of-life-faq.html"
28,291366,"https://explorelearning.zendesk.com/hc/en-us/categories/200289140&amp;pageID=23&amp;t=32"
28,303838,"https://owl.purdue.edu/owl/research_and_citation/mla_style/mla_formatting_and_style_guide/mla_general_format.html"
28,291366,"https://www.explorelearning.com/index.cfm?method=Controller.dspPageNotFound&amp;id=47&amp;c=0&amp;r=0"
27,303922,"https://owl.purdue.edu/owl/research_and_citation/mla_style/mla_formatting_and_style_guide/mla_formatting_and_style_guide.html"
27,239348,"https://www.cast.org/publications/ncac/ncac_diffinstruc.html"
27,303161,"https://www.modernamericanpoetry.org/dashboard"
26,278194,"https://opsis.georgetown.domains/LaPageDeGuy/docs/france/echiquier.htm"
26,303838,"https://owl.purdue.edu/owl/research_and_citation/mla_style/mla_formatting_and_style_guide/mla_formatting_quotations.html"
26,303756,"https://owl.purdue.edu/owl/research_and_citation/mla_style/mla_formatting_and_style_guide/mla_in_text_citations_the_basics.html"
26,278967,"https://www.writeexpress.com/persuasive-essay.html"
25,303707,"https://www.senate.gov/pagelayout/general/one_item_and_teasers/file_not_found.htm"
24,279218,"https://www.classicreader.com/"
24,254750,"https://www.etymonline.com/"
24,279195,"https://www.thoughtco.com/classic-literature-4133245"
23,269136,"https://www.learnthat.org/pages/view/roots.html"
20,271082,"https://poets.org/poem/do-not-go-gentle-good-night"
20,275860,"https://www.mathgoodies.com/lessons/vol6/independent_events.html"
